,misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
176,40.0,2020.0,6.1,0,1,0,1,0,0,4G,4000.0,0,0,Realme C2s,720.0,1560.0,32.0,3.0,13.0,2.0,5.0,1.0
77,526.08,2019.0,6.39,1,1,0,1,1,0,4G,4000.0,0,0,Lenovo Z6 Pro,1080.0,2340.0,128.0,6.0,48.0,4.0,32.0,1.0
476,160.0,2018.0,5.5,0,1,0,1,0,0,4G,4000.0,0,0,Asus Zenfone Max (M1) ZB555KL,720.0,1440.0,16.0,2.0,13.0,2.0,8.0,1.0
799,300.0,2017.0,5.0,0,1,0,1,0,0,4G,2950.0,0,0,Huawei nova 2,1080.0,1920.0,64.0,4.0,8.0,2.0,20.0,1.0
1050,300.0,2016.0,5.5,0,0,0,1,1,0,4G,3060.0,0,0,Meizu MX6,1080.0,1920.0,32.0,3.0,12.0,1.0,5.0,1.0
295,120.0,2020.0,5.0,0,1,0,1,0,0,4G,2600.0,0,0,Samsung Galaxy J2 Core (2020),540.0,960.0,16.0,1.0,8.0,1.0,5.0,1.0
711,200.0,2017.0,5.5,0,1,0,1,1,0,4G,4000.0,0,0,HTC One X10,1080.0,1920.0,32.0,3.0,16.0,1.0,8.0,1.0
553,212.1336,2018.0,5.9,0,1,0,1,1,0,4G,3000.0,0,0,BLU Vivo XI,720.0,1520.0,32.0,3.0,16.0,2.0,16.0,1.0
859,160.0,2015.0,5.5,0,1,0,1,0,0,3G,2560.0,0,0,Lava Pixel V1,720.0,1280.0,32.0,2.0,8.0,1.0,5.0,1.0
1411,270.0,2014.0,4.8,1,1,0,1,1,0,3G,2100.0,0,0,Samsung I9301I Galaxy S3 Neo,720.0,1280.0,16.0,1.5,8.0,1.0,1.9,1.0
969,260.0,2017.0,5.7,0,1,0,1,0,1,4G,3080.0,0,0,LG Stylo 3 Plus,1080.0,1920.0,32.0,2.0,13.0,1.0,5.0,1.0
544,250.0,2017.0,5.5,0,1,0,1,0,0,4G,6180.0,0,0,Blackview P6000,1080.0,1920.0,64.0,6.0,21.0,2.0,8.0,1.0
530,350.0,2018.0,5.99,0,1,0,1,1,0,4G,4000.0,1,0,BlackBerry Evolve X,1080.0,2160.0,64.0,6.0,12.0,2.0,16.0,1.0
996,150.0,2015.0,5.0,0,1,0,1,1,1,4G,2540.0,0,0,LG G4c,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1447,900.0,2018.0,5.8,0,1,1,0,1,1,4G,3540.0,1,1,Sony Xperia XZ2 Premium,3840.0,2160.0,64.0,6.0,19.0,2.0,13.0,1.0
965,150.0,2017.0,5.5,0,1,0,1,0,1,4G,3000.0,0,0,LG Q6,1080.0,2160.0,64.0,4.0,13.0,1.0,5.0,1.0
579,230.0,2018.0,5.5,0,1,0,1,1,1,4G,3400.0,0,0,BQ Aquaris VS Plus,1080.0,1920.0,64.0,4.0,12.0,1.0,8.0,1.0
86,320.0,2019.0,6.4,0,1,0,1,1,1,4G,4000.0,0,1,LG Q70,1080.0,2310.0,64.0,4.0,32.0,2.0,16.0,1.0
157,279.99,2019.0,6.53,1,1,0,1,1,0,4G,4000.0,0,0,Oppo Reno2 Z,1080.0,2340.0,128.0,8.0,48.0,4.0,16.0,1.0
1636,130.0,2014.0,5.5,0,1,0,1,0,0,3G,2600.0,0,0,XOLO Omega 5.5,720.0,1280.0,8.0,1.0,13.0,1.0,2.0,1.0
1830,165.0,2015.0,5.5,0,1,0,1,0,0,4G,2500.0,0,0,Panasonic Eluga Mark - YU Yureka,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1,524.52,2019.0,5.7,1,0,1,0,1,1,4G,2800.0,1,1,Google Pixel 4,1080.0,2280.0,64.0,6.0,12.2,2.0,8.0,2.0
1849,280.0,2016.0,5.5,0,1,0,1,1,1,4G,3000.0,0,0,Asus Zenfone 3 Deluxe 5.5 ZS550KL - ZTE nubia Z11,1080.0,1920.0,64.0,4.0,16.0,1.0,8.0,1.0
1398,230.0,2015.0,5.5,1,1,0,1,0,1,4G,2950.0,0,0,Samsung Galaxy E7,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1842,245.0,2017.0,5.5,0,1,0,1,0,0,4G,5000.0,0,0,Asus Zenfone 4 Max Plus ZC554KL - Asus Zenfone 4 Max ZC554KL,720.0,1280.0,32.0,3.0,13.0,2.0,8.0,1.0
565,190.0,2015.0,4.8,1,0,0,1,0,0,3G,2100.0,0,0,BLU Vivo Air,720.0,1280.0,16.0,1.0,8.0,1.0,5.0,1.0
183,670.0,2020.0,6.4,1,0,1,0,1,1,4G,3130.0,0,1,Sharp Aquos Zero 2,1080.0,2340.0,256.0,8.0,12.2,2.0,8.0,1.0
384,160.0,2018.0,6.0,0,1,0,1,0,1,4G,3000.0,0,0,alcatel 3v,1080.0,2160.0,16.0,2.0,12.0,2.0,5.0,1.0
1296,200.0,2014.0,5.0,1,1,0,1,0,0,3G,2300.0,0,0,QMobile Noir Z6,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
948,620.0,2019.0,6.1,1,1,0,1,1,1,4G,3500.0,1,1,LG G8 ThinQ,1440.0,3120.0,128.0,6.0,12.0,2.0,8.0,2.0
536,300.0,2016.0,5.5,1,1,1,1,1,1,4G,3000.0,0,0,BlackBerry DTEK60,1440.0,2560.0,32.0,4.0,21.0,1.0,8.0,1.0
564,310.0,2015.0,6.0,1,1,0,1,0,1,4G,3500.0,0,0,BLU Pure XL,1440.0,2560.0,64.0,3.0,24.0,1.0,8.0,1.0
1873,175.0,2018.0,5.99,0,1,0,1,0,0,4G,3000.0,0,0,Honor 7C - Huawei Y7 Pro (2018),720.0,1440.0,32.0,3.0,13.0,2.0,8.0,1.0
360,130.0,2016.0,7.0,0,1,1,1,1,0,4G,3240.0,0,0,alcatel Pop 7 LTE,600.0,1024.0,8.0,1.0,5.0,1.0,2.0,1.0
1857,290.0,2016.0,5.5,1,1,0,1,0,0,4G,3150.0,0,0,Allview X3 Soul - BLU Vivo 5 - Gionee S6,720.0,1280.0,32.0,3.0,13.0,1.0,5.0,1.0
1786,140.0,2016.0,5.0,0,1,0,1,0,0,4G,4100.0,0,0,Xiaomi Redmi 3s Prime - Xiaomi Redmi 3 Pro,720.0,1280.0,32.0,3.0,13.0,1.0,5.0,1.0
1713,200.0,2015.0,5.5,0,1,0,1,1,1,4G,2900.0,0,0,ZTE nubia Z9 Max,1080.0,1920.0,16.0,3.0,16.0,1.0,8.0,1.0
1727,350.0,2014.0,6.44,0,1,1,1,1,1,4G,4250.0,0,0,ZTE nubia X6,1080.0,1920.0,32.0,2.0,13.0,1.0,13.0,1.0
301,243.423306,2020.0,6.4,1,1,0,1,1,1,4G,5000.0,0,0,Samsung Galaxy A31,1080.0,2400.0,64.0,4.0,48.0,4.0,20.0,1.0
758,200.0,2014.0,4.7,0,1,1,1,0,1,4G,2040.0,0,0,HTC Desire 610,540.0,960.0,8.0,1.0,8.0,1.0,1.3,1.0
491,120.0,2016.0,6.9,0,1,0,1,0,0,3G,3480.0,0,0,Asus Zenfone Go ZB690KG,600.0,1024.0,8.0,1.0,5.0,1.0,2.0,1.0
853,102.6,2017.0,5.0,0,1,0,1,1,0,4G,2500.0,0,0,Lava Z80,720.0,1280.0,16.0,3.0,8.0,1.0,5.0,1.0
920,280.0,2015.0,5.5,0,0,0,1,1,1,4G,4000.0,0,0,Lenovo K80,1080.0,1920.0,64.0,4.0,13.0,1.0,5.0,1.0
363,149.99,2020.0,6.22,0,1,0,1,0,0,4G,4000.0,0,0,alcatel 3L (2020),720.0,1520.0,64.0,4.0,48.0,3.0,8.0,1.0
1289,150.0,2015.0,5.0,0,1,0,1,0,0,3G,1800.0,0,0,QMobile Noir X600,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1692,200.0,2016.0,6.0,1,1,0,1,1,0,4G,4000.0,0,0,ZTE nubia Z11 Max,1080.0,1920.0,64.0,4.0,16.0,1.0,8.0,1.0
1598,400.0,2018.0,5.99,0,0,1,0,1,0,4G,4000.0,0,0,Xiaomi Black Shark,1080.0,2160.0,64.0,6.0,12.0,2.0,20.0,1.0
1517,300.0,2018.0,6.26,0,1,0,1,0,0,4G,3260.0,0,0,vivo Z1,1080.0,2280.0,64.0,4.0,13.0,2.0,24.0,1.0
1204,460.0,2018.0,6.28,1,1,0,1,1,0,4G,3450.0,0,0,Oppo R15,1080.0,2280.0,128.0,4.0,16.0,2.0,20.0,1.0
915,250.0,2015.0,6.8,0,1,0,1,1,0,4G,3500.0,0,0,Lenovo Phab Plus,1080.0,1920.0,32.0,2.0,13.0,1.0,5.0,1.0
495,160.0,2016.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,Asus Zenfone 3 Laser ZC551KL,1080.0,1920.0,16.0,2.0,13.0,1.0,8.0,1.0
223,140.0,2019.0,6.35,0,1,0,1,1,0,4G,5000.0,0,0,vivo Y3 (4GB+64GB),720.0,1544.0,64.0,4.0,13.0,3.0,8.0,1.0
566,210.0,2014.0,6.0,0,1,0,1,0,0,4G,3200.0,0,0,BLU Studio 6.0 LTE,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
1004,240.0,2014.0,5.5,0,1,0,1,0,0,3G,3000.0,0,0,LG G3 Stylus,540.0,960.0,8.0,1.0,13.0,1.0,1.3,1.0
472,120.0,2018.0,5.45,0,1,0,1,0,0,4G,4000.0,0,0,Asus Zenfone Max (M1) ZB556KL,720.0,1440.0,32.0,3.0,13.0,2.0,8.0,1.0
217,230.0,2019.0,6.53,0,1,0,1,1,0,4G,5000.0,0,0,vivo Z5i,1080.0,2340.0,128.0,8.0,16.0,3.0,16.0,1.0
1260,90.0,2017.0,5.0,0,1,0,1,0,0,4G,4000.0,0,0,Panasonic P85,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
722,300.0,2016.0,5.2,0,1,1,1,1,1,4G,3000.0,0,0,HTC 10,1440.0,2560.0,32.0,4.0,12.0,1.0,5.0,1.0
1634,140.0,2015.0,5.0,0,1,0,1,0,0,4G,2400.0,0,0,XOLO Black 1X,1080.0,1920.0,32.0,3.0,13.0,1.0,5.0,1.0
815,100.0,2016.0,7.0,0,1,0,1,0,0,3G,4100.0,0,0,Huawei MediaPad T1 7.0 Plus,600.0,1024.0,16.0,2.0,5.0,1.0,2.0,1.0
1489,190.0,2016.0,6.0,0,1,0,1,0,0,4G,2500.0,0,0,verykool SL6010 Cyprus LTE,720.0,1280.0,16.0,1.0,13.0,1.0,8.0,1.0
1386,140.0,2015.0,5.0,0,1,0,1,0,0,4G,2600.0,0,0,Samsung Galaxy On5,720.0,1280.0,8.0,1.5,8.0,1.0,5.0,1.0
961,63.64008,2018.0,5.0,0,1,0,1,1,0,4G,2410.0,0,0,LG Aristo 2,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
49,917.46721332,2019.0,6.53,1,0,0,0,1,1,5G,4500.0,1,1,Huawei Mate 30 Pro 5G,1176.0,2400.0,128.0,8.0,40.0,4.0,32.0,2.0
412,120.0,2015.0,5.5,0,1,0,1,0,0,4G,2800.0,0,0,alcatel Pixi 3 (5.5) LTE,720.0,1280.0,8.0,1.0,5.0,1.0,2.0,1.0
602,120.0,2014.0,5.0,0,1,0,1,0,0,3G,2500.0,0,0,Celkon Q500 Millennium Ultra,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
321,380.0,2019.0,6.7,1,1,0,1,1,1,4G,4500.0,0,0,Samsung Galaxy A70s,1080.0,2400.0,128.0,6.0,64.0,3.0,32.0,1.0
149,440.0,2019.0,6.4,1,0,0,1,1,1,5G,4025.0,0,0,Oppo Reno3 5G,1080.0,2400.0,128.0,8.0,64.0,4.0,32.0,1.0
407,120.0,2016.0,5.5,0,1,0,1,0,0,4G,2500.0,0,0,alcatel Pop 3 (5.5),720.0,1280.0,8.0,1.0,5.0,1.0,2.0,1.0
361,190.0,2014.0,7.0,0,1,0,1,0,0,4G,3240.0,0,0,alcatel Pop 7S,600.0,1024.0,4.0,1.0,3.0,1.0,0.3,1.0
1449,470.0,2018.0,5.0,0,1,1,0,1,1,4G,2870.0,0,1,Sony Xperia XZ2 Compact,1080.0,2160.0,64.0,4.0,19.0,1.0,5.0,1.0
1311,220.0,2019.0,6.3,0,1,0,1,0,0,4G,5000.0,0,0,Samsung Galaxy M20,1080.0,2340.0,32.0,3.0,13.0,2.0,8.0,1.0
642,210.0,2016.0,5.0,0,1,0,1,0,0,4G,4000.0,0,0,Gionee Steel 2,720.0,1280.0,16.0,3.0,8.0,1.0,5.0,1.0
334,260.0,2019.0,5.0,0,1,0,1,1,1,4G,2800.0,0,1,Samsung Galaxy Xcover 4s,720.0,1280.0,32.0,3.0,16.0,1.0,5.0,1.0
1409,220.0,2014.0,4.5,1,1,0,1,1,1,4G,2100.0,0,1,Samsung Galaxy S5 mini,720.0,1280.0,16.0,1.5,8.0,1.0,2.1,1.0
1388,350.0,2015.0,5.1,1,1,0,1,1,1,4G,2800.0,0,1,Samsung Galaxy S5 Neo,1080.0,1920.0,16.0,2.0,16.0,1.0,5.0,1.0
1578,80.0,2019.0,5.0,0,1,0,1,0,0,4G,3000.0,0,0,Xiaomi Redmi Go,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1539,700.0,2016.0,5.46,1,0,0,1,1,1,4G,4080.0,0,0,vivo Xplay6,1440.0,2560.0,128.0,6.0,12.0,2.0,16.0,1.0
123,63.62947332,2019.0,5.5,0,1,0,1,1,0,4G,3000.0,0,1,Motorola Moto E6,720.0,1440.0,16.0,2.0,13.0,1.0,5.0,1.0
237,230.0,2019.0,6.35,0,1,0,1,0,0,4G,5000.0,0,0,vivo Y17,720.0,1544.0,128.0,4.0,13.0,3.0,20.0,1.0
1591,500.0,2018.0,6.21,1,0,0,0,1,1,4G,3000.0,0,0,Xiaomi Mi 8 Explorer,1080.0,2248.0,128.0,8.0,12.0,2.0,20.0,1.0
555,84.85343999999999,2018.0,5.2,0,1,0,1,0,0,3G,2000.0,0,0,BLU Studio G4,720.0,1280.0,16.0,1.0,8.0,1.0,5.0,1.0
389,260.0,2017.0,6.0,0,1,0,1,1,0,4G,4000.0,0,0,alcatel A7 XL,1080.0,1920.0,32.0,3.0,12.0,2.0,5.0,1.0
39,744.99,2020.0,6.1,1,0,0,0,1,1,5G,3800.0,0,1,Huawei P40,1080.0,2340.0,128.0,6.0,50.0,3.0,32.0,1.0
56,360.0,2019.0,6.39,1,0,0,0,1,0,4G,3500.0,0,0,Huawei nova 5,1080.0,2340.0,128.0,8.0,48.0,4.0,32.0,1.0
1190,350.0,2018.0,6.4,1,0,0,1,1,0,4G,3600.0,0,0,Oppo R15x,1080.0,2340.0,128.0,6.0,16.0,2.0,25.0,1.0
9,179.99,2020.0,6.5,0,1,0,1,1,1,4G,3750.0,0,0,Honor 9X Lite,1080.0,2340.0,128.0,4.0,48.0,2.0,8.0,1.0
1494,400.0,2019.0,6.41,1,0,0,1,1,1,4G,4000.0,0,0,vivo iQOO,1080.0,2340.0,128.0,6.0,12.0,2.0,12.0,1.0
1708,300.0,2015.0,5.5,0,1,0,1,1,1,4G,3000.0,0,0,ZTE Axon Lux,1440.0,2560.0,128.0,4.0,13.0,2.0,8.0,1.0
608,350.0,2017.0,5.5,0,0,0,1,1,0,4G,3200.0,0,0,Coolpad Cool M7,1080.0,1920.0,64.0,4.0,12.0,1.0,13.0,1.0
169,183.05,2020.0,6.5,0,1,0,1,0,0,4G,5000.0,0,0,Realme 6i,720.0,1600.0,64.0,3.0,48.0,4.0,16.0,1.0
403,200.0,2016.0,5.2,0,1,1,1,1,1,4G,2610.0,0,0,alcatel Idol 4,1080.0,1920.0,16.0,2.0,13.0,1.0,8.0,1.0
1288,150.0,2015.0,4.7,0,1,0,1,0,0,4G,2000.0,0,0,QMobile Noir LT250,720.0,1280.0,4.0,1.0,8.0,1.0,5.0,1.0
229,500.0,2019.0,6.41,1,0,0,1,1,1,5G,4500.0,0,0,vivo iQOO Pro 5G,1080.0,2340.0,128.0,8.0,48.0,3.0,12.0,1.0
807,920.0,2016.0,5.5,1,0,1,1,1,1,4G,4000.0,0,0,Huawei Mate 9 Porsche Design,1440.0,2560.0,256.0,6.0,12.0,2.0,8.0,1.0
1377,190.0,2016.0,5.2,1,1,0,1,0,1,4G,3100.0,0,0,Samsung Galaxy J5 (2016),720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1467,200.0,2016.0,5.0,0,1,1,1,1,1,4G,2620.0,0,0,Sony Xperia X,1080.0,1920.0,32.0,3.0,23.0,1.0,13.0,1.0
1887,450.0,2018.0,6.2,0,1,1,1,1,1,4G,3300.0,0,0,Asus Zenfone 5z ZS620KL - Asus Zenfone 5 ZE620KL,1080.0,2246.0,64.0,4.0,12.0,2.0,8.0,1.0
1804,385.0,2014.0,5.0,1,0,0,1,1,1,4G,2420.0,1,0,Nokia Lumia 930 - Nokia Lumia Icon,1080.0,1920.0,32.0,2.0,20.0,1.0,1.2,1.0
506,130.0,2015.0,5.0,0,1,0,1,0,0,3G,2070.0,0,0,Asus Zenfone Go ZC500TG,720.0,1280.0,8.0,2.0,8.0,1.0,2.0,1.0
207,680.7897558,2020.0,6.56,1,0,0,0,1,1,5G,4315.0,0,0,vivo X50 Pro,1080.0,2376.0,128.0,8.0,48.0,4.0,32.0,1.0
952,500.0,2018.0,6.1,0,1,0,1,1,1,4G,3000.0,1,1,LG G7 One,1440.0,3120.0,32.0,4.0,16.0,1.0,8.0,1.0
1008,300.0,2014.0,5.5,0,1,0,1,1,1,4G,3000.0,0,0,LG G3 (CDMA),1440.0,2560.0,32.0,3.0,13.0,1.0,2.1,1.0
833,340.0,2014.0,6.0,0,1,0,1,1,1,4G,4100.0,0,0,Huawei Ascend Mate7,1080.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
1762,160.0,2016.0,5.0,0,1,0,1,0,0,4G,2000.0,0,0,Acer Liquid Zest - Panasonic Eluga L 4G - QMobile Noir LT600,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
1293,120.0,2014.0,5.0,0,1,0,1,0,0,3G,1700.0,0,0,QMobile Noir i10,540.0,960.0,8.0,1.0,8.0,1.0,2.0,1.0
848,300.0,2014.0,4.5,0,1,1,1,1,1,4G,3100.0,1,1,Kyocera Brigadier,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1670,137.88684,2017.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,ZTE Blade Force,720.0,1280.0,16.0,2.0,8.0,1.0,5.0,1.0
1854,270.0,2015.0,5.5,0,1,1,1,1,1,4G,3430.0,0,1,Sony Xperia Z5 Premium Dual - Sony Xperia Z5 Premium,2160.0,3840.0,32.0,3.0,23.0,1.0,5.1,1.0
1613,310.0,2016.0,5.7,1,0,0,1,1,1,4G,4070.0,0,0,Xiaomi Mi Note 2,1080.0,1920.0,64.0,6.0,22.5,1.0,8.0,1.0
741,370.0,2015.0,5.5,0,1,1,1,0,0,4G,2600.0,0,0,HTC Desire 820s dual sim,720.0,1280.0,16.0,2.0,13.0,1.0,8.0,1.0
1766,145.0,2016.0,5.0,0,1,0,1,0,0,4G,2300.0,0,0,Lenovo A6600 - ZTE Blade Vec 4G,720.0,1280.0,16.0,1.0,8.0,1.0,2.0,1.0
1821,85.0,2018.0,5.45,0,1,0,1,0,0,4G,3000.0,0,0,Asus ZenFone Lite (L1) ZA551KL - Xiaomi Redmi 6A,720.0,1440.0,16.0,2.0,13.0,1.0,5.0,1.0
1709,180.0,2015.0,5.7,0,0,0,1,0,0,4G,3400.0,0,0,ZTE Boost Max+,720.0,1280.0,16.0,2.0,8.0,1.0,1.0,1.0
1256,110.0,2017.0,5.0,0,1,0,1,0,0,4G,4000.0,0,0,Panasonic Eluga Ray 500,720.0,1280.0,32.0,3.0,13.0,2.0,5.0,1.0
890,180.0,2017.0,5.5,0,1,0,1,1,0,4G,4000.0,0,1,Lenovo K8 Note,1080.0,1920.0,32.0,3.0,13.0,2.0,13.0,1.0
1423,320.0,2014.0,5.5,1,1,0,1,1,1,4G,3100.0,0,0,Samsung Galaxy Note 3 Neo,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1910,360.0,2015.0,7.0,0,1,0,1,1,0,4G,5000.0,0,0,Huawei MediaPad X2 - Huawei MediaPad X1,1200.0,1920.0,16.0,2.0,13.0,1.0,5.0,1.0
1497,230.0,2018.0,6.2,0,1,0,1,0,0,4G,4030.0,0,0,vivo Y93s,720.0,1520.0,128.0,4.0,13.0,2.0,8.0,1.0
1132,120.0,2017.0,5.0,0,1,0,1,0,0,4G,4000.0,0,0,Motorola Moto C Plus,720.0,1280.0,16.0,1.0,8.0,1.0,2.0,1.0
690,170.0,2015.0,5.0,0,1,0,1,0,0,3G,2550.0,0,0,Honor 4C,720.0,1280.0,8.0,2.0,13.0,1.0,5.0,1.0
1084,130.0,2015.0,5.0,0,1,0,1,0,0,4G,2100.0,0,0,Micromax Canvas Pulse 4G E451,720.0,1280.0,16.0,3.0,13.0,1.0,5.0,1.0
1838,150.0,2016.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,Asus Zenfone 2 Laser ZE551KL - Coolpad Note 3 Plus,1080.0,1920.0,16.0,3.0,13.0,1.0,5.0,1.0
1169,140.0,2017.0,5.2,0,1,0,1,0,1,4G,3000.0,0,0,Nokia 5,720.0,1280.0,16.0,2.0,13.0,1.0,8.0,1.0
1682,190.0,2017.0,5.5,0,1,0,1,1,1,4G,3000.0,0,0,ZTE Hawkeye,1080.0,1920.0,32.0,3.0,13.0,2.0,8.0,1.0
278,600.0,2020.0,6.65,1,0,0,0,1,1,5G,5100.0,0,0,ZTE nubia Red Magic 5G Lite,1080.0,2340.0,256.0,8.0,48.0,4.0,12.0,1.0
662,210.0,2019.0,6.21,0,1,0,1,1,0,4G,3400.0,0,0,Honor 20i,1080.0,2340.0,64.0,6.0,24.0,2.0,32.0,1.0
884,120.0,2018.0,5.45,0,1,0,1,1,0,4G,4000.0,0,0,Lenovo A5,720.0,1440.0,16.0,3.0,13.0,1.0,8.0,1.0
834,110.0,2014.0,4.5,0,1,0,1,0,0,4G,2000.0,0,0,Huawei Ascend G535,540.0,960.0,8.0,1.0,5.0,1.0,1.0,1.0
925,150.0,2015.0,5.0,0,1,0,1,0,0,3G,4000.0,0,0,Lenovo A5000,720.0,1280.0,8.0,1.0,8.0,1.0,2.0,1.0
30,250.0,2020.0,6.5,0,0,0,1,1,0,5G,4000.0,0,0,Huawei Enjoy 20 Pro,1080.0,2400.0,128.0,6.0,48.0,3.0,16.0,1.0
420,290.0,2014.0,5.0,0,1,1,1,0,0,3G,2500.0,0,0,alcatel Idol X+,1080.0,1920.0,16.0,2.0,13.1,1.0,2.0,1.0
1531,390.0,2017.0,5.85,1,0,0,1,1,0,4G,4015.0,0,0,vivo X9s Plus,1080.0,1920.0,64.0,4.0,16.0,1.0,20.0,2.0
313,1290.0,2020.0,6.7,1,0,0,0,1,1,4G,3300.0,1,0,Samsung Galaxy Z Flip,1080.0,2636.0,256.0,8.0,12.0,2.0,10.0,1.0
665,570.0,2018.0,6.4,0,0,0,1,1,1,4G,4000.0,0,0,Honor View 20,1080.0,2310.0,128.0,6.0,48.0,2.0,25.0,1.0
789,150.0,2018.0,5.99,0,1,0,1,0,1,4G,3000.0,0,0,Huawei Y7 (2018),720.0,1440.0,16.0,2.0,13.0,1.0,8.0,1.0
1653,70.0,2015.0,4.7,0,1,0,1,0,0,4G,2000.0,0,0,YU Yunique,720.0,1280.0,8.0,1.0,8.0,1.0,2.0,1.0
375,200.0,2015.0,5.0,0,1,0,1,0,0,4G,2300.0,0,0,Acer Liquid Jade Z,720.0,1280.0,8.0,1.0,13.0,1.0,5.0,1.0
143,120.0,2020.0,6.2,0,1,0,1,0,0,4G,4230.0,0,0,Oppo A12e,720.0,1520.0,64.0,3.0,13.0,2.0,8.0,1.0
15,160.0,2020.0,6.39,0,1,0,1,0,0,4G,4000.0,0,0,Honor Play 4T,720.0,1560.0,128.0,6.0,48.0,2.0,8.0,1.0
677,370.0,2017.0,5.99,0,1,0,1,1,1,4G,3750.0,0,0,Honor View 10,1080.0,2160.0,64.0,4.0,16.0,2.0,13.0,1.0
1375,300.0,2016.0,6.0,1,1,0,1,1,1,4G,5000.0,0,0,Samsung Galaxy A9 Pro (2016),1080.0,1920.0,32.0,4.0,16.0,1.0,8.0,1.0
714,260.0,2016.0,5.5,0,1,1,1,1,1,4G,3000.0,0,0,HTC Desire 10 Pro,1080.0,1920.0,64.0,4.0,20.0,1.0,13.0,1.0
1157,250.0,2018.0,5.8,0,1,0,1,1,0,4G,3060.0,0,0,Nokia 6.1 Plus (Nokia X6),1080.0,2280.0,32.0,4.0,16.0,2.0,16.0,1.0
717,150.0,2016.0,5.0,0,1,0,1,1,1,4G,2300.0,0,0,HTC One A9s,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
1805,275.0,2014.0,5.0,1,1,0,1,1,1,4G,2300.0,0,0,Samsung Galaxy A5 Duos - Samsung Galaxy A5,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
215,501.47322372,2020.0,6.44,1,0,0,1,1,1,5G,4400.0,0,0,vivo iQOO 3 5G,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,1.0
592,230.0,2015.0,5.0,0,1,0,1,0,0,4G,2900.0,0,0,BQ Aquaris X5,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
174,140.0,2020.0,6.52,0,1,0,1,1,0,4G,5000.0,0,0,Realme 5i,720.0,1600.0,32.0,3.0,12.0,4.0,8.0,1.0
977,200.0,2016.0,5.5,0,1,0,1,1,0,4G,2800.0,0,0,LG X max,720.0,1280.0,16.0,1.5,13.0,1.0,5.0,1.0
231,90.0,2019.0,6.22,0,1,0,1,0,0,4G,4030.0,0,0,vivo Y90,720.0,1520.0,16.0,2.0,8.0,1.0,5.0,1.0
549,127.28016,2019.0,6.2,0,1,0,1,0,0,4G,3000.0,0,0,BLU Vivo One Plus (2019),720.0,1500.0,16.0,2.0,13.0,2.0,8.0,1.0
1125,150.0,2017.0,5.2,0,1,0,1,1,0,4G,3000.0,0,1,Motorola Moto G5S,1080.0,1920.0,32.0,3.0,16.0,1.0,5.0,1.0
410,250.0,2015.0,5.5,0,1,1,1,1,1,4G,2910.0,0,0,alcatel Idol 3 (5.5),1080.0,1920.0,16.0,2.0,13.0,1.0,8.0,1.0
395,180.0,2017.0,6.0,0,1,0,1,0,0,4G,3000.0,0,0,alcatel A3 XL,720.0,1280.0,8.0,2.0,8.0,1.0,5.0,1.0
1486,86.64,2019.0,5.5,0,1,0,1,0,0,4G,3050.0,0,0,TECNO Camon iACE2X,720.0,1440.0,32.0,3.0,13.0,2.0,8.0,1.0
1457,190.0,2017.0,5.5,0,1,0,1,1,1,4G,2620.0,0,0,Sony Xperia L1,720.0,1280.0,16.0,2.0,13.0,1.0,5.0,1.0
716,200.0,2016.0,5.5,0,1,1,1,0,0,4G,2700.0,0,0,HTC Desire 10 Lifestyle,720.0,1280.0,32.0,3.0,13.0,1.0,5.0,1.0
1338,120.0,2018.0,5.0,1,1,0,1,0,0,4G,2600.0,0,0,Samsung Galaxy J2 Pro (2018),540.0,960.0,16.0,2.0,8.0,1.0,5.0,1.0
556,106.0668,2018.0,5.5,0,1,0,1,0,0,3G,2500.0,0,0,BLU C6,720.0,1280.0,16.0,1.0,8.0,1.0,5.0,1.0
